IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
35.201.203.106,443,443,true,TPE,Asia Pacific,TW,Taipei,53,20.88
34.80.84.102,2053,443,true,TPE,Asia Pacific,TW,Taipei,49,13.82
141.11.86.94,18333,443,true,TPE,Asia Pacific,TW,Taipei,293,11.12
34.80.233.177,443,443,true,TPE,Asia Pacific,TW,Taipei,51,18.25
47.76.89.195,48222,443,true,TPE,Asia Pacific,TW,Taipei,37,12.25
8.210.174.22,10001,443,true,TPE,Asia Pacific,TW,Taipei,39,11.44
34.80.233.177,443,443,true,TPE,Asia Pacific,TW,Taipei,48,19.22
47.76.89.195,48222,443,true,TPE,Asia Pacific,TW,Taipei,40,16.09
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
