IP地址,端口,TLS,数据中心,地区,国际代码,国家,城市,网络延迟,下载速度MB/s
20.243.85.49,10443,true,NRT,亚太,JP,日本,东京,33 ms,38.38
212.50.251.250,2346,true,KIX,亚太,JP,日本,大阪,54 ms,38.14
65.20.82.22,443,true,BOM,亚太,IN,印度,孟买,130 ms,32.99
65.20.74.136,2053,true,BOM,亚太,IN,印度,孟买,122 ms,28.69
194.9.6.32,48484,true,FRA,欧洲,DE,德国,法兰克福,159 ms,24.41
185.8.60.113,443,true,RIX,欧洲,LV,拉脱维亚,里加,220 ms,23.01
146.235.19.79,28983,true,SIN,亚太,SG,新加坡,新加坡,173 ms,22.78
149.28.91.206,45628,true,LAX,北美洲,US,美国,洛杉矶,182 ms,22.64
138.2.101.213,15204,true,SIN,亚太,SG,新加坡,新加坡,75 ms,21.97
43.218.77.16,1443,true,CGK,亚太,ID,印尼,雅加达,82 ms,21.49
213.35.108.135,12596,true,SIN,亚太,SG,新加坡,新加坡,71 ms,21.23
202.144.192.76,443,true,NRT,亚太,JP,日本,东京,54 ms,20.82
213.35.100.31,47112,true,SIN,亚太,SG,新加坡,新加坡,69 ms,20.60
3.1.116.161,2053,true,SIN,亚太,SG,新加坡,新加坡,69 ms,20.58
13.229.159.215,443,true,SIN,亚太,SG,新加坡,新加坡,68 ms,20.52
35.201.203.106,443,TRUE,TPE,亚太,TW,台湾,台北,54 ms,32.53
65.20.76.125,8443,TRUE,BOM,亚太,IN,印度,孟买,126 ms,21.96
212.50.251.250,2346,TRUE,KIX,亚太,JP,日本,大阪,60 ms,18.82
18.183.158.211,443,TRUE,NRT,亚太,JP,日本,东京,141 ms,16.79
202.61.192.103,8443,TRUE,FRA,欧洲,DE,德国,法兰克福,152 ms,15.86
95.179.164.162,8443,TRUE,FRA,欧洲,DE,德国,法兰克福,161 ms,15.76
144.202.110.174,26932,TRUE,LAX,北美洲,US,美国,洛杉矶,202 ms,15.55
37.120.186.205,2087,TRUE,FRA,欧洲,DE,德国,法兰克福,154 ms,15.37
45.142.159.9,9991,TRUE,SEA,北美洲,US,美国,西雅图,161 ms,15.2
65.20.74.136,2053,TRUE,BOM,亚太,IN,印度,孟买,131 ms,14.72
103.160.100.205,29844,TRUE,NRT,亚太,JP,日本,东京,84 ms,13.94
138.2.95.61,1111,TRUE,SIN,亚太,SG,新加坡,新加坡,122 ms,13.64
45.76.82.192,443,TRUE,FRA,欧洲,DE,德国,法兰克福,206 ms,13.56
31.129.48.139,443,TRUE,LED,欧洲,RU,俄罗斯,圣彼得堡,173 ms,13.47
45.32.131.28,31001,TRUE,LAX,北美洲,US,美国,洛杉矶,135 ms,13.31
142.171.30.213,995,TRUE,LAX,北美洲,US,美国,洛杉矶,182 ms,13.28
156.59.91.176,443,TRUE,IAD,北美洲,US,美国,阿什本,38 ms,13.17
64.227.184.166,8443,TRUE,BLR,亚太,IN,印度,班加罗尔,118 ms,12.95
54.248.121.219,443,TRUE,NRT,亚太,JP,日本,东京,162 ms,12.72
139.59.48.26,8443,TRUE,BLR,亚太,IN,印度,班加罗尔,108 ms,12.46
185.224.248.120,443,TRUE,FRA,欧洲,DE,德国,法兰克福,200 ms,12.43
23.94.211.148,443,TRUE,SEA,北美洲,US,美国,西雅图,169 ms,12.38
172.93.32.131,23077,TRUE,YVR,北美洲,CA,加拿大,温哥华,171 ms,12.32
192.210.196.158,36414,TRUE,SJC,北美洲,US,美国,圣何塞,153 ms,12.24
95.181.151.172,443,TRUE,FRA,欧洲,DE,德国,法兰克福,164 ms,12.02
168.138.171.70,23280,TRUE,SIN,亚太,SG,新加坡,新加坡,211 ms,11.98
31.129.49.103,443,TRUE,LED,欧洲,RU,俄罗斯,圣彼得堡,189 ms,11.92
192.248.177.3,443,TRUE,FRA,欧洲,DE,德国,法兰克福,203 ms,11.83
181.214.208.46,8011,TRUE,AMS,欧洲,NL,荷兰,阿姆斯特丹,191 ms,11.74
64.64.227.118,35375,TRUE,LAX,北美洲,US,美国,洛杉矶,142 ms,11.65
95.179.166.107,443,TRUE,FRA,欧洲,DE,德国,法兰克福,169 ms,11.41
43.218.77.16,1443,TRUE,CGK,亚太,ID,印尼,雅加达,87 ms,11.32
45.151.133.125,41389,TRUE,SEA,北美洲,US,美国,西雅图,153 ms,11.23
104.194.84.243,443,TRUE,LAX,北美洲,US,美国,洛杉矶,156 ms,11.19
95.179.167.159,2052,TRUE,FRA,欧洲,DE,德国,法兰克福,186 ms,10.87
158.178.243.152,61731,TRUE,SIN,亚太,SG,新加坡,新加坡,113 ms,10.36
199.19.107.81,8080,TRUE,LAX,北美洲,US,美国,洛杉矶,145 ms,10.32
136.244.115.71,2053,TRUE,CDG,欧洲,FR,法国,巴黎,199 ms,10.2
64.64.224.35,443,TRUE,LAX,北美洲,US,美国,洛杉矶,143 ms,10.13
173.242.123.189,51042,TRUE,LAX,北美洲,US,美国,洛杉矶,129 ms,10.04
